codigo_instituicao,instituicao,codigo_curso,curso,vagas_iniciais,colocados,nota_ultimo_colocado,vagas_sobrantes,ano,fase,taxa_ocupacao,nome_universidade,nome_faculdade,course_id
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0169,Ciências da Natureza (Biologia e Geologia) (Ensino de),30.0,3.0,114.2,27.0,2004,1,0.1,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0169_0903
0508,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,0174,Educação Física,30.0,30.0,116.0,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências do Desporto e Educação Física,0174_0508
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0204,Engenharia Aeroespacial,60.0,60.0,160.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,0204_0807
0803,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,0205,Engenharia Agronómica,30.0,30.0,111.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Agronomia,0205_0803
0803,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,0209,Engenharia Alimentar,40.0,40.0,116.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Agronomia,0209_0803
0202,Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente,0213,Engenharia do Ambiente,30.0,5.0,112.1,25.0,2004,1,0.16666666666666666,Universidade do Algarve,Faculdade de Ciências do Mar e do Ambiente,0213_0202
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,0213,Engenharia do Ambiente,50.0,35.0,110.3,15.0,2004,1,0.7,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,0213_0501
0803,Universidade Técnica de Lisboa - Instituto Superior de Agronomia,0213,Engenharia do Ambiente,35.0,35.0,114.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Agronomia,0213_0803
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,0213,Engenharia do Ambiente,55.0,28.0,121.3,27.0,2004,1,0.509090909090909,Universidade Técnica de Lisboa,Instituto Superior Técnico,0213_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,0213,Engenharia do Ambiente,105.0,71.0,111.4,34.0,2004,1,0.6761904761904762,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,0213_0903
